date,dvol_close
2023-01-03,29.3715
2023-01-04,28.5452
2023-01-05,29.1691
2023-01-06,27.4446
2023-01-09,28.5841
2023-01-10,26.6815
2023-01-11,27.2649
2023-01-12,24.3662
2023-01-13,23.9146
2023-01-17,25.3958
2023-01-18,26.6725
2023-01-19,27.0197
2023-01-20,26.1998
2023-01-23,26.3454
2023-01-24,25.7778
2023-01-25,25.6794
2023-01-26,25.2927
2023-01-27,24.8035
2023-01-30,26.6903
2023-01-31,25.5234
2023-02-01,23.6199
2023-02-02,24.8691
2023-02-03,24.3183
2023-02-06,25.4189
2023-02-07,24.5788
2023-02-08,25.7611
2023-02-09,27.0833
2023-02-10,26.9978
2023-02-13,26.6638
2023-02-14,24.7373
2023-02-15,23.9045
2023-02-16,26.3866
2023-02-17,26.2583
2023-02-21,29.7716
2023-02-22,29.0495
2023-02-23,27.6232
2023-02-24,28.4239
2023-02-27,27.4907
2023-02-28,27.1175
2023-03-01,27.0249
2023-03-02,25.6487
2023-03-03,23.8765
2023-03-06,24.0451
2023-03-07,25.0248
2023-03-08,24.7473
2023-03-09,28.7357
2023-03-10,31.4196
2023-03-13,33.4949
2023-03-14,29.9671
2023-03-15,32.9111
2023-03-16,29.0519
2023-03-17,31.7468
2023-03-20,29.4291
2023-03-21,26.0884
2023-03-22,26.5443
2023-03-23,27.1520
2023-03-24,26.2074
2023-03-27,24.5580
2023-03-28,23.8842
2023-03-29,22.7682
2023-03-30,22.6269
2023-03-31,22.0674
2023-04-03,21.9025
2023-04-04,22.3282
2023-04-05,22.6686
2023-04-06,21.6296
2023-04-10,22.4456
2023-04-11,22.6716
2023-04-12,22.7391
2023-04-13,21.2142
2023-04-14,20.3738
2023-04-17,20.2351
2023-04-18,20.0970
2023-04-19,19.9139
2023-04-20,20.7059
2023-04-21,20.2060
2023-04-24,20.1790
2023-04-25,22.4717
2023-04-26,22.7158
2023-04-27,20.2528
2023-04-28,18.7404
2023-05-01,18.9637
2023-05-02,21.0581
2023-05-03,21.4201
2023-05-04,23.0096
2023-05-05,19.8044
2023-05-08,19.4468
2023-05-09,20.0141
2023-05-10,19.2619
2023-05-11,19.3647
2023-05-12,19.4542
2023-05-15,19.5462
2023-05-16,20.4448
2023-05-17,19.0876
2023-05-18,18.3393
2023-05-19,18.9981
2023-05-22,19.4511
2023-05-23,21.0186
2023-05-24,22.4675
2023-05-25,22.6960
2023-05-26,21.7269
2023-05-30,21.1512
2023-05-31,21.7185
2023-06-01,18.8660
2023-06-02,17.3677
2023-06-05,17.5727
2023-06-06,16.8846
2023-06-07,17.0826
2023-06-08,17.1633
2023-06-09,17.4671
2023-06-12,19.2168
2023-06-13,18.7158
2023-06-14,17.9574
2023-06-15,18.5002
2023-06-16,17.8760
2023-06-20,18.4981
2023-06-21,18.0848
2023-06-22,18.4140
2023-06-23,18.9391
2023-06-26,20.1697
2023-06-27,19.4152
2023-06-28,18.9586
2023-06-29,19.1880
2023-06-30,19.1278
2023-07-03,19.4045
2023-07-05,20.3402
2023-07-06,21.9847
2023-07-07,20.9396
2023-07-10,21.2816
2023-07-11,20.8660
2023-07-12,18.8458
2023-07-13,18.9497
2023-07-14,18.6794
2023-07-17,18.9390
2023-07-18,18.6791
2023-07-19,19.3605
2023-07-20,20.0791
2023-07-21,19.5642
2023-07-24,19.9458
2023-07-25,19.8907
2023-07-26,19.4670
2023-07-27,21.0201
2023-07-28,20.0328
2023-07-31,20.5715
2023-08-01,20.9728
2023-08-02,24.8212
2023-08-03,24.6651
2023-08-04,26.9936
2023-08-07,25.2068
2023-08-08,25.5405
2023-08-09,25.5380
2023-08-10,25.2528
2023-08-11,23.7310
2023-08-14,23.9178
2023-08-15,25.9274
2023-08-16,26.5672
2023-08-17,28.5297
2023-08-18,27.3773
2023-08-21,27.4834
2023-08-22,27.1741
2023-08-23,25.8241
