date,close
2023-01-03,238.880005
2023-01-04,241.360001
2023-01-05,240.279999
2023-01-06,248.860001
2023-01-09,246.619995
2023-01-10,250.509995
2023-01-11,250.729996
2023-01-12,255.070007
2023-01-13,258.459991
2023-01-17,256.260010
2023-01-18,252.820007
2023-01-19,245.750000
2023-01-20,249.710007
2023-01-23,252.699997
2023-01-24,257.609985
2023-01-25,258.440002
2023-01-26,262.119995
2023-01-27,264.540009
2023-01-30,261.500000
2023-01-31,252.289993
2023-02-01,249.539993
2023-02-02,244.899994
2023-02-03,247.759995
2023-02-06,251.419998
2023-02-07,249.660004
2023-02-08,248.869995
2023-02-09,246.279999
2023-02-10,247.669998
2023-02-13,248.149994
2023-02-14,244.360001
2023-02-15,248.699997
2023-02-16,246.520004
2023-02-17,247.789993
2023-02-21,240.710007
2023-02-22,237.889999
2023-02-23,237.949997
2023-02-24,236.169998
2023-02-27,239.979996
2023-02-28,239.550003
2023-03-01,248.669998
2023-03-02,252.179993
2023-03-03,255.309998
2023-03-06,253.979996
2023-03-07,246.139999
2023-03-08,248.720001
2023-03-09,240.960007
2023-03-10,227.009995
2023-03-13,224.699997
2023-03-14,225.669998
2023-03-15,217.259995
2023-03-16,218.710007
2023-03-17,215.009995
2023-03-20,220.309998
2023-03-21,224.919998
2023-03-22,219.949997
2023-03-23,219.440002
2023-03-24,217.009995
2023-03-27,218.000000
2023-03-28,220.160004
2023-03-29,223.000000
2023-03-30,224.539993
2023-03-31,228.839996
2023-04-03,229.869995
2023-04-04,217.449997
2023-04-05,213.529999
2023-04-06,209.169998
2023-04-10,215.529999
2023-04-11,220.600006
2023-04-12,220.500000
2023-04-13,221.669998
2023-04-14,223.679993
2023-04-17,225.240005
2023-04-18,225.199997
2023-04-19,224.649994
2023-04-20,222.270004
2023-04-21,220.270004
2023-04-24,223.429993
2023-04-25,218.630005
2023-04-26,216.190002
2023-04-27,214.330002
2023-04-28,218.800003
2023-05-01,217.270004
2023-05-02,215.149994
2023-05-03,215.639999
2023-05-04,210.380005
2023-05-05,215.089996
2023-05-08,214.789993
2023-05-09,213.490005
2023-05-10,213.169998
2023-05-11,210.029999
2023-05-12,209.539993
2023-05-15,211.289993
2023-05-16,207.199997
2023-05-17,212.100006
2023-05-18,214.720001
2023-05-19,214.779999
2023-05-22,214.259995
2023-05-23,212.710007
2023-05-24,209.699997
2023-05-25,209.979996
2023-05-26,211.800003
2023-05-30,209.899994
2023-05-31,205.750000
2023-06-01,209.070007
2023-06-02,226.630005
2023-06-05,222.470001
2023-06-06,226.679993
2023-06-07,235.550003
2023-06-08,234.449997
2023-06-09,235.029999
2023-06-12,237.899994
2023-06-13,245.440002
2023-06-14,243.320007
2023-06-15,247.669998
2023-06-16,245.270004
2023-06-20,241.149994
2023-06-21,241.479996
2023-06-22,237.339996
2023-06-23,234.440002
2023-06-26,236.949997
2023-06-27,240.690002
2023-06-28,241.869995
2023-06-29,244.240005
2023-06-30,246.050003
2023-07-03,247.330002
2023-07-05,244.830002
2023-07-06,240.580002
2023-07-07,245.179993
2023-07-10,248.809998
2023-07-11,252.850006
2023-07-12,253.600006
2023-07-13,255.860001
2023-07-14,255.619995
2023-07-17,257.459991
2023-07-18,263.809998
2023-07-19,262.750000
2023-07-20,261.089996
2023-07-21,257.649994
2023-07-24,259.369995
2023-07-25,262.059998
2023-07-26,258.320007
2023-07-27,258.299988
2023-07-28,260.429993
2023-07-31,265.170013
2023-08-01,288.649994
2023-08-02,287.570007
2023-08-03,281.450012
2023-08-04,276.440002
2023-08-07,281.649994
2023-08-08,282.890015
2023-08-09,284.529999
2023-08-10,283.820007
2023-08-11,285.220001
2023-08-14,284.540009
2023-08-15,277.369995
2023-08-16,274.510010
2023-08-17,275.170013
2023-08-18,273.799988
2023-08-21,272.750000
2023-08-22,270.200012
2023-08-23,273.029999
2023-08-24,269.299988
2023-08-25,272.559998
2023-08-28,274.790009
2023-08-29,280.029999
2023-08-30,282.329987
2023-08-31,281.130005
2023-09-01,286.250000
2023-09-05,281.630005
2023-09-06,282.899994
2023-09-07,281.429993
2023-09-08,282.279999
2023-09-11,282.049988
2023-09-12,281.809998
2023-09-13,275.920013
2023-09-14,282.559998
2023-09-15,279.149994
2023-09-18,280.940002
2023-09-19,279.670013
2023-09-20,278.609985
2023-09-21,272.029999
2023-09-22,273.059998
2023-09-25,274.269989
2023-09-26,269.519989
2023-09-27,272.709991
2023-09-28,276.239990
2023-09-29,273.000000
2023-10-02,271.720001
2023-10-03,268.970001
2023-10-04,265.029999
2023-10-05,260.799988
2023-10-06,266.040009
2023-10-09,271.299988
2023-10-10,273.209991
2023-10-11,272.829987
2023-10-12,269.609985
2023-10-13,267.940002
2023-10-16,270.790009
2023-10-17,272.649994
2023-10-18,259.220001
2023-10-19,252.889999
2023-10-20,249.199997
2023-10-23,247.320007
2023-10-24,249.550003
2023-10-25,244.940002
2023-10-26,242.429993
2023-10-27,238.559998
2023-10-30,242.160004
2023-10-31,226.050003
2023-11-01,231.830002
2023-11-02,239.119995
2023-11-03,240.750000
2023-11-06,238.279999
2023-11-07,234.919998
2023-11-08,234.820007
2023-11-09,234.149994
2023-11-10,239.679993
2023-11-13,241.669998
2023-11-14,247.860001
2023-11-15,251.089996
2023-11-16,248.210007
2023-11-17,253.070007
2023-11-20,250.449997
2023-11-21,249.410004
2023-11-22,246.009995
2023-11-24,247.360001
2023-11-27,247.389999
2023-11-28,247.500000
2023-11-29,249.449997
2023-11-30,250.720001
2023-12-01,256.760010
2023-12-04,254.750000
2023-12-05,255.190002
2023-12-06,255.970001
2023-12-07,257.410004
2023-12-08,259.500000
2023-12-11,260.920013
2023-12-12,261.429993
2023-12-13,267.970001
2023-12-14,285.170013
2023-12-15,285.739990
2023-12-18,285.709991
2023-12-19,292.959991
2023-12-20,289.709991
2023-12-21,290.070007
2023-12-22,290.359985
2023-12-26,295.630005
2023-12-27,298.119995
2023-12-28,296.880005
2023-12-29,295.670013
2024-01-02,292.709991
2024-01-03,284.299988
2024-01-04,286.100006
2024-01-05,288.929993
2024-01-08,292.250000
2024-01-09,292.290009
2024-01-10,293.350006
2024-01-11,292.059998
2024-01-12,290.410004
2024-01-16,287.230011
2024-01-17,278.630005
2024-01-18,281.899994
2024-01-19,285.279999
2024-01-22,288.670013
2024-01-23,288.829987
2024-01-24,290.679993
2024-01-25,300.769989
