date,open,high,low,close
2023-01-03,80.570000,81.500000,76.599998,76.930000
2023-01-04,77.250000,77.419998,72.730003,72.839996
2023-01-05,73.250000,74.919998,72.459999,73.669998
2023-01-06,73.970001,75.470001,73.239998,73.769997
2023-01-09,73.470001,76.739998,73.470001,74.629997
2023-01-10,74.860001,75.919998,73.839996,75.120003
2023-01-11,74.779999,77.839996,74.309998,77.410004
2023-01-12,77.699997,79.160004,77.099998,78.389999
2023-01-13,78.320000,80.110001,77.970001,79.860001
2023-01-17,80.099998,81.230003,78.529999,80.180000
2023-01-18,80.970001,82.379997,78.940002,79.480003
2023-01-19,79.139999,81.180000,78.129997,80.330002
2023-01-20,80.599998,81.639999,79.690002,81.309998
2023-01-23,81.790001,82.639999,81.050003,81.620003
2023-01-24,81.620003,82.220001,79.660004,80.129997
2023-01-25,80.260002,81.230003,79.449997,80.150002
2023-01-26,80.480003,82.139999,79.919998,81.010002
2023-01-27,81.220001,82.480003,79.040001,79.680000
2023-01-30,80.040001,80.489998,77.660004,77.900002
2023-01-31,77.910004,79.250000,76.550003,78.870003
2023-02-01,79.059998,79.730003,76.050003,76.410004
2023-02-02,76.790001,77.239998,74.970001,75.879997
2023-02-03,75.919998,78.000000,73.099998,73.389999
2023-02-06,73.230003,74.510002,72.250000,74.110001
2023-02-07,74.570000,77.599998,74.349998,77.139999
2023-02-08,77.489998,78.570000,77.080002,78.470001
2023-02-09,78.449997,78.839996,76.519997,78.059998
2023-02-10,77.680000,80.330002,77.470001,79.720001
2023-02-13,79.940002,80.620003,78.449997,80.139999
2023-02-14,79.059998,79.610001,77.459999,79.059998
2023-02-15,78.830002,79.150002,77.250000,78.589996
2023-02-16,78.540001,79.540001,77.919998,78.489998
2023-02-17,78.070000,78.250000,75.059998,76.339996
2023-02-21,76.529999,77.510002,75.690002,76.160004
2023-02-22,76.110001,76.550003,73.800003,73.949997
2023-02-23,73.919998,75.989998,73.830002,75.389999
2023-02-24,75.599998,76.629997,74.089996,76.320000
2023-02-27,76.419998,76.820000,74.989998,75.680000
2023-02-28,75.760002,77.830002,75.550003,77.050003
2023-03-01,76.849998,77.849998,76.120003,77.690002
2023-03-02,77.739998,78.589996,77.230003,78.160004
2023-03-03,77.889999,79.900002,75.830002,79.680000
2023-03-06,79.919998,80.629997,78.320000,80.459999
2023-03-07,80.500000,80.940002,77.059998,77.580002
2023-03-08,77.320000,77.730003,76.110001,76.660004
2023-03-09,76.500000,78.059998,75.430000,75.720001
2023-03-10,75.650002,77.110001,74.769997,76.680000
2023-03-13,76.599998,77.470001,72.300003,74.800003
2023-03-14,74.699997,74.900002,70.779999,71.330002
2023-03-15,71.559998,72.559998,65.650002,67.610001
2023-03-16,68.220001,69.379997,65.709999,68.349998
2023-03-17,68.260002,69.639999,65.169998,66.739998
2023-03-20,66.620003,67.699997,64.120003,67.639999
2023-03-21,67.620003,69.599998,66.769997,69.330002
2023-03-22,69.480003,71.309998,68.889999,70.900002
2023-03-23,69.949997,71.669998,69.139999,69.959999
2023-03-24,69.510002,70.379997,66.820000,69.260002
2023-03-27,69.419998,73.099998,69.129997,72.809998
2023-03-28,72.860001,73.930000,72.190002,73.199997
2023-03-29,73.610001,74.370003,72.760002,72.970001
2023-03-30,72.980003,74.629997,72.610001,74.370003
2023-03-31,74.370003,75.720001,73.769997,75.669998
2023-04-03,80.099998,81.690002,79.000000,80.419998
2023-04-04,80.440002,81.809998,79.610001,80.709999
2023-04-05,81.010002,81.239998,79.720001,80.610001
2023-04-06,80.370003,80.959999,79.650002,80.699997
2023-04-10,80.500000,81.220001,79.610001,79.739998
2023-04-11,79.879997,81.589996,79.370003,81.529999
2023-04-12,81.440002,83.529999,81.279999,83.260002
2023-04-13,83.220001,83.440002,82.110001,82.160004
2023-04-14,82.400002,83.120003,81.760002,82.519997
2023-04-17,82.480003,82.709999,80.470001,80.830002
2023-04-18,81.000000,81.480003,79.870003,80.860001
2023-04-19,80.919998,81.180000,78.459999,79.160004
2023-04-20,78.870003,78.889999,76.970001,77.290001
2023-04-21,77.129997,78.389999,76.720001,77.870003
2023-04-24,77.970001,79.180000,76.720001,78.760002
2023-04-25,78.739998,79.070000,76.500000,77.070000
2023-04-26,77.080002,77.930000,74.050003,74.300003
2023-04-27,74.379997,75.279999,74.029999,74.760002
2023-04-28,74.910004,76.919998,73.930000,76.779999
2023-05-01,76.660004,76.690002,74.529999,75.660004
2023-05-02,75.760002,76.110001,71.419998,71.660004
2023-05-03,71.559998,71.790001,67.949997,68.599998
2023-05-04,68.160004,69.839996,63.639999,68.559998
2023-05-05,68.699997,71.809998,68.480003,71.339996
2023-05-08,71.349998,73.690002,71.040001,73.160004
2023-05-09,72.839996,73.779999,71.339996,73.709999
2023-05-10,73.580002,73.889999,71.800003,72.559998
2023-05-11,72.769997,73.500000,70.629997,70.870003
2023-05-12,71.419998,71.779999,69.930000,70.040001
2023-05-15,70.040001,71.690002,69.410004,71.110001
2023-05-16,71.320000,71.790001,70.449997,70.860001
2023-05-17,70.599998,73.260002,70.040001,72.830002
2023-05-18,72.750000,72.870003,71.419998,71.860001
2023-05-19,71.940002,73.400002,71.029999,71.550003
2023-05-22,71.699997,72.360001,70.550003,71.989998
2023-05-23,72.099998,73.790001,71.709999,72.910004
2023-05-24,73.769997,74.730003,73.129997,74.339996
2023-05-25,74.209999,74.370003,70.980003,71.830002
2023-05-26,71.889999,73.050003,71.489998,72.669998
2023-05-30,73.230003,73.550003,69.019997,69.459999
2023-05-31,69.620003,69.690002,67.029999,68.089996
2023-06-01,67.599998,71.070000,67.510002,70.099998
2023-06-02,70.209999,72.169998,70.000000,71.739998
2023-06-05,75.029999,75.059998,71.730003,72.150002
2023-06-06,71.989998,72.330002,70.129997,71.739998
2023-06-07,71.559998,73.190002,71.010002,72.529999
2023-06-08,72.470001,73.279999,69.029999,71.290001
