date,close
2023-01-03,380.820007
2023-01-04,383.760010
2023-01-05,379.380005
2023-01-06,388.079987
2023-01-09,387.859985
2023-01-10,390.579987
2023-01-11,395.519989
2023-01-12,396.959991
2023-01-13,398.500000
2023-01-17,397.769989
2023-01-18,391.489990
2023-01-19,388.640015
2023-01-20,395.880005
2023-01-23,400.630005
2023-01-24,400.200012
2023-01-25,400.350006
2023-01-26,404.750000
2023-01-27,405.679993
2023-01-30,400.589996
2023-01-31,406.480011
2023-02-01,410.799988
2023-02-02,416.779999
2023-02-03,412.350006
2023-02-06,409.829987
2023-02-07,415.190002
2023-02-08,410.649994
2023-02-09,407.089996
2023-02-10,408.040009
2023-02-13,412.829987
2023-02-14,412.640015
2023-02-15,413.980011
2023-02-16,408.279999
2023-02-17,407.260010
2023-02-21,399.089996
2023-02-22,398.540009
2023-02-23,400.660004
2023-02-24,396.380005
2023-02-27,397.730011
2023-02-28,396.260010
2023-03-01,394.739990
2023-03-02,397.809998
2023-03-03,404.190002
2023-03-06,404.470001
2023-03-07,398.269989
2023-03-08,398.920013
2023-03-09,391.559998
2023-03-10,385.910004
2023-03-13,385.359985
2023-03-14,391.730011
2023-03-15,389.279999
2023-03-16,396.109985
2023-03-17,389.989990
2023-03-20,393.739990
2023-03-21,398.910004
2023-03-22,392.109985
2023-03-23,393.170013
2023-03-24,395.750000
2023-03-27,396.489990
2023-03-28,395.600006
2023-03-29,401.350006
2023-03-30,403.700012
2023-03-31,409.390015
2023-04-03,410.950012
2023-04-04,408.670013
2023-04-05,407.600006
2023-04-06,409.190002
2023-04-10,409.609985
2023-04-11,409.720001
2023-04-12,408.049988
2023-04-13,413.470001
2023-04-14,412.459991
2023-04-17,413.940002
2023-04-18,414.209991
2023-04-19,414.140015
2023-04-20,411.880005
2023-04-21,412.200012
2023-04-24,412.630005
2023-04-25,406.079987
2023-04-26,404.359985
2023-04-27,412.410004
2023-04-28,415.929993
2023-05-01,415.510010
2023-05-02,410.839996
2023-05-03,408.019989
2023-05-04,405.130005
2023-05-05,412.630005
2023-05-08,412.739990
2023-05-09,410.929993
2023-05-10,412.850006
2023-05-11,412.130005
2023-05-12,411.589996
2023-05-15,413.010010
2023-05-16,410.250000
2023-05-17,415.230011
2023-05-18,419.230011
2023-05-19,418.619995
2023-05-22,418.790009
2023-05-23,414.089996
2023-05-24,411.089996
2023-05-25,414.649994
2023-05-26,420.019989
2023-05-30,420.179993
2023-05-31,417.850006
2023-06-01,421.820007
2023-06-02,427.920013
2023-06-05,427.100006
2023-06-06,428.029999
2023-06-07,426.549988
2023-06-08,429.130005
2023-06-09,429.899994
2023-06-12,433.799988
2023-06-13,436.660004
2023-06-14,437.179993
2023-06-15,442.600006
2023-06-16,439.459991
2023-06-20,437.179993
2023-06-21,434.940002
2023-06-22,436.510010
2023-06-23,433.209991
2023-06-26,431.440002
2023-06-27,436.170013
2023-06-28,436.390015
2023-06-29,438.109985
2023-06-30,443.279999
2023-07-03,443.790009
2023-07-05,443.130005
2023-07-06,439.660004
2023-07-07,438.549988
2023-07-10,439.660004
2023-07-11,442.459991
2023-07-12,446.019989
2023-07-13,449.559998
2023-07-14,449.279999
2023-07-17,450.839996
2023-07-18,454.190002
2023-07-19,455.200012
2023-07-20,452.179993
2023-07-21,452.179993
2023-07-24,454.200012
2023-07-25,455.440002
2023-07-26,455.510010
2023-07-27,452.489990
2023-07-28,456.920013
2023-07-31,457.790009
2023-08-01,456.480011
2023-08-02,450.130005
2023-08-03,448.839996
2023-08-04,446.809998
2023-08-07,450.709991
2023-08-08,448.750000
2023-08-09,445.750000
2023-08-10,445.910004
2023-08-11,445.649994
2023-08-14,448.109985
2023-08-15,442.890015
2023-08-16,439.640015
2023-08-17,436.290009
2023-08-18,436.500000
2023-08-21,439.339996
2023-08-22,438.149994
2023-08-23,443.029999
2023-08-24,436.890015
2023-08-25,439.970001
2023-08-28,442.760010
2023-08-29,449.160004
2023-08-30,451.010010
2023-08-31,450.350006
2023-09-01,451.190002
2023-09-05,449.239990
2023-09-06,446.220001
2023-09-07,444.850006
2023-09-08,445.519989
2023-09-11,448.450012
2023-09-12,445.989990
2023-09-13,446.510010
2023-09-14,450.359985
2023-09-15,443.369995
2023-09-18,443.630005
2023-09-19,442.709991
2023-09-20,438.640015
2023-09-21,431.390015
2023-09-22,430.420013
2023-09-25,432.230011
2023-09-26,425.880005
2023-09-27,426.049988
2023-09-28,428.519989
2023-09-29,427.480011
2023-10-02,427.309998
2023-10-03,421.589996
2023-10-04,424.660004
2023-10-05,424.500000
2023-10-06,429.540009
2023-10-09,432.290009
2023-10-10,434.540009
2023-10-11,436.320007
2023-10-12,433.660004
2023-10-13,431.500000
2023-10-16,436.040009
2023-10-17,436.019989
2023-10-18,430.209991
2023-10-19,426.429993
2023-10-20,421.190002
2023-10-23,420.459991
2023-10-24,423.630005
2023-10-25,417.549988
2023-10-26,412.549988
2023-10-27,410.679993
2023-10-30,415.589996
2023-10-31,418.200012
2023-11-01,422.660004
2023-11-02,430.760010
2023-11-03,434.690002
2023-11-06,435.690002
2023-11-07,436.929993
2023-11-08,437.250000
2023-11-09,433.839996
2023-11-10,440.609985
2023-11-13,440.190002
2023-11-14,448.730011
2023-11-15,449.679993
2023-11-16,450.230011
2023-11-17,450.790009
2023-11-20,454.260010
2023-11-21,453.269989
2023-11-22,455.019989
2023-11-24,455.299988
2023-11-27,454.480011
2023-11-28,454.929993
2023-11-29,454.609985
2023-11-30,456.399994
2023-12-01,459.100006
2023-12-04,456.690002
2023-12-05,456.600006
2023-12-06,454.760010
2023-12-07,458.230011
2023-12-08,460.200012
2023-12-11,461.989990
2023-12-12,464.100006
2023-12-13,470.500000
2023-12-14,472.010010
2023-12-15,469.329987
2023-12-18,471.970001
2023-12-19,474.839996
2023-12-20,468.260010
2023-12-21,472.700012
2023-12-22,473.649994
2023-12-26,475.649994
2023-12-27,476.510010
2023-12-28,476.690002
2023-12-29,475.309998
2024-01-02,472.649994
2024-01-03,468.790009
2024-01-04,467.279999
2024-01-05,467.920013
2024-01-08,474.600006
2024-01-09,473.880005
2024-01-10,476.559998
2024-01-11,476.350006
2024-01-12,476.679993
2024-01-16,474.929993
2024-01-17,472.290009
2024-01-18,476.489990
2024-01-19,482.429993
2024-01-22,483.450012
2024-01-23,484.859985
2024-01-24,485.390015
2024-01-25,488.029999
2024-01-26,487.410004
2024-01-29,491.269989
2024-01-30,490.890015
2024-01-31,482.880005
2024-02-01,489.200012
2024-02-02,494.350006
2024-02-05,492.549988
2024-02-06,493.980011
2024-02-07,498.100006
2024-02-08,498.320007
2024-02-09,501.200012
2024-02-12,500.980011
2024-02-13,494.079987
2024-02-14,498.570007
2024-02-15,502.010010
2024-02-16,499.510010
2024-02-20,496.760010
2024-02-21,497.209991
2024-02-22,507.500000
2024-02-23,507.850006
2024-02-26,505.989990
2024-02-27,506.929993
2024-02-28,506.260010
2024-02-29,508.079987
2024-03-01,512.849976
2024-03-04,512.299988
2024-03-05,507.179993
2024-03-06,509.750000
2024-03-07,514.809998
2024-03-08,511.720001
2024-03-11,511.279999
2024-03-12,516.780029
2024-03-13,515.969971
2024-03-14,514.950012
2024-03-15,509.829987
2024-03-18,512.859985
2024-03-19,515.710022
2024-03-20,520.479980
2024-03-21,522.200012
2024-03-22,521.210022
2024-03-25,519.770020
2024-03-26,518.809998
2024-03-27,523.169983
2024-03-28,523.070007
2024-04-01,522.159973
2024-04-02,518.840027
2024-04-03,519.409973
2024-04-04,513.070007
2024-04-05,518.429993
2024-04-08,518.719971
2024-04-09,519.320007
2024-04-10,514.119995
2024-04-11,518.000000
2024-04-12,510.850006
2024-04-15,504.450012
2024-04-16,503.529999
2024-04-17,500.549988
2024-04-18,499.519989
2024-04-19,495.160004
2024-04-22,499.720001
2024-04-23,505.649994
2024-04-24,505.410004
2024-04-25,503.489990
2024-04-26,508.260010
2024-04-29,510.059998
2024-04-30,501.980011
2024-05-01,500.350006
2024-05-02,505.029999
2024-05-03,511.290009
2024-05-06,516.570007
2024-05-07,517.140015
2024-05-08,517.190002
2024-05-09,520.169983
2024-05-10,520.840027
2024-05-13,520.909973
2024-05-14,523.299988
2024-05-15,529.780029
2024-05-16,528.690002
2024-05-17,529.450012
2024-05-20,530.059998
2024-05-21,531.359985
2024-05-22,529.830017
2024-05-23,525.960022
2024-05-24,529.440002
2024-05-28,529.809998
2024-05-29,526.099976
2024-05-30,522.609985
2024-05-31,527.369995
2024-06-03,527.799988
2024-06-04,528.390015
2024-06-05,534.669983
2024-06-06,534.659973
2024-06-07,534.010010
2024-06-10,535.659973
2024-06-11,536.950012
2024-06-12,541.359985
2024-06-13,542.450012
2024-06-14,542.780029
2024-06-17,547.099976
2024-06-18,548.489990
2024-06-20,547.000000
2024-06-21,544.510010
2024-06-24,542.739990
2024-06-25,544.830017
2024-06-26,545.510010
2024-06-27,546.369995
2024-06-28,544.219971
2024-07-01,545.340027
2024-07-02,549.010010
2024-07-03,551.460022
2024-07-05,554.640015
2024-07-08,555.280029
2024-07-09,555.820007
2024-07-10,561.320007
2024-07-11,556.479980
2024-07-12,559.989990
2024-07-15,561.530029
2024-07-16,564.859985
2024-07-17,556.940002
2024-07-18,552.659973
2024-07-19,548.989990
2024-07-22,554.650024
2024-07-23,553.780029
2024-07-24,541.229980
2024-07-25,538.409973
2024-07-26,544.440002
2024-07-29,544.760010
2024-07-30,542.000000
