date,open,high,low,close
2023-01-03,64.964996,65.150002,63.415001,64.195000
2023-01-04,64.794998,65.605003,63.980000,65.125000
2023-01-05,64.669998,64.949997,64.084999,64.519997
2023-01-06,64.339996,66.290001,63.884998,66.035004
2023-01-09,66.834999,67.514999,66.385002,66.434998
2023-01-10,66.470001,67.279999,66.110001,67.269997
2023-01-11,67.845001,69.089996,67.785004,69.084999
2023-01-12,69.514999,69.595001,68.089996,69.199997
2023-01-13,68.129997,69.915001,68.035004,69.849998
2023-01-17,70.055000,70.459999,69.699997,69.900002
2023-01-18,70.610001,71.014999,68.959999,68.989998
2023-01-19,68.485001,68.699997,67.495003,67.845001
2023-01-20,67.995003,69.529999,67.660004,69.489998
2023-01-23,69.675003,70.839996,69.269997,70.574997
2023-01-24,70.330002,70.830002,69.875000,70.495003
2023-01-25,69.425003,70.949997,68.900002,70.855003
2023-01-26,72.110001,72.514999,71.394997,72.305000
2023-01-27,72.364998,74.514999,72.349998,73.945000
2023-01-30,73.389999,73.875000,72.625000,72.684998
2023-01-31,72.764999,74.349998,72.764999,74.349998
2023-02-01,74.154999,76.355003,73.389999,75.760002
2023-02-02,77.404999,79.014999,77.050003,78.080002
2023-02-03,75.739998,77.474998,75.339996,75.675003
2023-02-06,75.389999,76.025002,74.934998,75.565002
2023-02-07,75.235001,75.930000,73.830002,75.739998
2023-02-08,75.489998,75.675003,74.574997,75.095001
2023-02-09,76.095001,76.595001,74.584999,74.955002
2023-02-10,74.300003,74.654999,73.474998,74.074997
2023-02-13,74.070000,75.195000,73.570000,75.160004
2023-02-14,74.629997,76.264999,74.165001,76.059998
2023-02-15,75.845001,76.964996,75.550003,76.949997
2023-02-16,75.769997,76.845001,75.254997,75.269997
2023-02-17,74.839996,75.320000,74.019997,75.285004
2023-02-21,74.160004,74.360001,72.750000,72.769997
2023-02-22,72.934998,73.620003,72.610001,73.139999
2023-02-23,73.394997,73.489998,71.845001,73.080002
2023-02-24,71.724998,72.070000,71.339996,71.930000
2023-02-27,72.745003,73.364998,72.519997,72.820000
2023-02-28,72.775002,73.305000,72.485001,72.769997
2023-03-01,72.510002,72.750000,71.434998,71.855003
2023-03-02,70.705002,71.724998,70.514999,71.614998
2023-03-03,72.239998,73.279999,72.074997,73.154999
2023-03-06,73.339996,73.595001,72.595001,72.620003
2023-03-07,72.510002,72.870003,71.595001,71.629997
2023-03-08,71.500000,71.650002,70.764999,71.500000
2023-03-09,71.375000,72.114998,69.735001,69.794998
2023-03-10,70.025002,70.750000,68.864998,69.099998
2023-03-13,68.080002,70.129997,67.855003,69.245003
2023-03-14,70.184998,70.620003,69.540001,70.419998
2023-03-15,69.375000,70.355003,68.995003,70.315002
2023-03-16,69.875000,71.889999,69.820000,71.584999
2023-03-17,71.565002,71.610001,70.095001,70.669998
2023-03-20,70.370003,71.195000,69.875000,70.760002
2023-03-21,71.675003,72.824997,71.644997,72.714996
2023-03-22,72.750000,73.279999,71.065002,71.095001
2023-03-23,71.955002,72.480003,70.315002,71.019997
2023-03-24,70.855003,70.915001,69.889999,70.790001
2023-03-27,71.470001,71.735001,70.639999,70.934998
2023-03-28,70.915001,71.105003,70.370003,70.849998
2023-03-29,71.620003,72.220001,71.370003,72.195000
2023-03-30,72.885002,73.190002,72.535004,72.824997
2023-03-31,73.290001,74.815002,73.184998,74.769997
2023-04-03,74.095001,74.445000,73.570000,74.084999
2023-04-04,74.330002,74.500000,73.320000,73.964996
2023-04-05,73.654999,73.680000,72.294998,72.449997
2023-04-06,72.114998,72.595001,71.445000,72.464996
2023-04-10,71.724998,72.809998,71.294998,72.785004
2023-04-11,72.824997,73.309998,72.570000,72.900002
2023-04-12,73.504997,73.529999,71.690002,71.769997
2023-04-13,72.290001,73.419998,72.055000,73.355003
2023-04-14,73.190002,73.900002,72.839996,73.449997
2023-04-17,73.635002,74.129997,73.264999,73.970001
2023-04-18,74.339996,74.510002,73.769997,74.089996
2023-04-19,73.400002,74.445000,73.330002,74.019997
2023-04-20,72.805000,73.504997,72.470001,72.879997
2023-04-21,73.474998,73.980003,72.910004,73.684998
2023-04-24,73.794998,74.230003,73.000000,73.675003
2023-04-25,73.190002,73.320000,72.205002,72.214996
2023-04-26,72.580002,72.815002,71.699997,71.845001
2023-04-27,72.349998,73.824997,72.300003,73.739998
2023-04-28,73.394997,74.029999,72.709999,73.930000
2023-05-01,73.750000,73.910004,73.095001,73.199997
2023-05-02,73.089996,73.434998,72.385002,73.275002
2023-05-03,72.970001,73.945000,72.639999,72.695000
2023-05-04,72.705002,73.019997,72.019997,72.135002
2023-05-05,72.815002,73.735001,72.684998,73.595001
2023-05-08,73.820000,73.875000,73.355003,73.845001
2023-05-09,73.440002,73.879997,73.320000,73.824997
2023-05-10,74.504997,74.885002,73.349998,74.199997
2023-05-11,74.245003,74.639999,73.964996,74.544998
2023-05-12,74.800003,74.995003,73.474998,73.915001
2023-05-15,74.000000,74.160004,73.364998,74.010002
2023-05-16,73.504997,74.370003,73.400002,73.709999
2023-05-17,74.175003,75.324997,74.160004,75.245003
2023-05-18,75.410004,76.445000,75.400002,76.415001
2023-05-19,76.230003,76.269997,75.394997,75.775002
2023-05-22,75.809998,76.035004,75.279999,75.540001
2023-05-23,74.959999,75.919998,74.699997,74.849998
2023-05-24,74.690002,74.970001,73.995003,74.574997
2023-05-25,74.805000,74.900002,73.989998,74.239998
2023-05-26,74.415001,76.535004,74.290001,75.985001
2023-05-30,76.815002,77.074997,76.000000,76.495003
2023-05-31,75.989998,76.144997,74.754997,75.805000
2023-06-01,75.739998,77.074997,75.214996,76.699997
2023-06-02,77.614998,78.794998,77.570000,78.500000
2023-06-05,78.485001,79.000000,78.275002,78.735001
2023-06-06,78.589996,79.665001,78.540001,79.555000
2023-06-07,80.114998,80.385002,78.864998,79.014999
2023-06-08,79.139999,80.324997,79.089996,80.184998
2023-06-09,81.010002,81.675003,80.410004,80.599998
2023-06-12,81.095001,82.095001,80.855003,81.985001
2023-06-13,82.639999,82.889999,81.974998,82.834999
2023-06-14,82.980003,83.214996,81.669998,82.775002
2023-06-15,82.035004,83.605003,81.889999,83.315002
2023-06-16,83.904999,83.934998,83.135002,83.190002
2023-06-20,82.845001,83.739998,82.589996,83.644997
2023-06-21,83.614998,83.820000,82.500000,82.639999
2023-06-22,82.129997,83.714996,82.035004,83.695000
2023-06-23,82.709999,83.480003,82.385002,82.724998
2023-06-26,82.220001,83.404999,81.629997,81.665001
2023-06-27,82.144997,83.529999,82.040001,83.419998
2023-06-28,83.199997,84.355003,83.129997,83.750000
2023-06-29,83.894997,84.095001,83.339996,83.839996
2023-06-30,84.544998,85.175003,84.330002,84.904999
