month,spot0,strike,settle,option_pnl,wing_pnl,hedge_pnl,fees,n_switches,month_pnl,ret_pct
2023-01,87.1,87,88.9,-0.9792,0.0,-1.5,0.0534,0,-2.5327,-2.9078
2023-02,89.74,90,82.85,-2.9777,0.0,2.34,0.1035,1,-0.7412,-0.8259
2023-03,83.1,83,76.21,-1.7093,0.0,6.07,0.0736,0,4.2871,5.1589
2023-04,77.06,77,80.2,0.5971,0.0,-2.14,0.1119,2,-1.6548,-2.1474
2023-05,82.07,82,83.92,2.364,0.0,2.26,0.0741,0,4.55,5.544
2023-06,85.08,85,83.2,2.7721,0.0,0.05,0.1268,2,2.6953,3.168
2023-07,82.94,83,84.29,2.8997,0.0,-2.47,0.1234,2,0.3063,0.3693
2023-08,83.3,83,79.2,0.6817,0.0,1.5,0.0988,1,2.083,2.5006
2023-09,81.13,81,73.02,-4.6993,0.0,3.61,0.0938,1,-1.1831,-1.4583
2023-10,70.65,71,66.23,-0.7645,0.0,4.08,0.0622,0,3.2533,4.6048
2023-11,67.6,68,75.52,-3.6687,0.0,-0.59,0.1028,2,-4.3615,-6.4519
2023-12,77.83,78,89.29,-7.3822,0.0,11.65,0.0702,0,4.1977,5.3934
2024-01,90.23,90,87.43,3.026,0.0,-5.92,0.1332,2,-3.0271,-3.3549
2024-02,88.97,89,98.42,-3.392,0.0,3.45,0.1611,3,-0.1032,-0.1159
2024-03,101.53,102,94.89,-0.2673,0.0,-5.04,0.1166,1,-5.4239,-5.3422
2024-04,93.85,94,84.62,-3.5284,0.0,3.5,0.1089,1,-0.1373,-0.1463
2024-05,87.33,87,89.13,3.7541,0.0,-1.54,0.1054,1,2.1087,2.4146
2024-06,91.42,91,92.71,2.6399,0.0,-4.07,0.1331,2,-1.5632,-1.7099
2024-07,93.04,93,99.06,-1.6169,0.0,3.16,0.1401,2,1.403,1.508
2024-08,98.67,99,101.26,3.975,0.0,2.94,0.117,1,6.798,6.8896
2024-09,98.66,99,98.8,5.0991,0.0,-5.07,0.1461,2,-0.1169,-0.1185
2024-10,97.97,98,97.03,3.2943,0.0,-3.59,0.1763,3,-0.472,-0.4817
2024-11,99.27,99,99.62,4.8599,0.0,-3.56,0.1461,2,1.1537,1.1622
2024-12,99.31,99,90.06,-4.5242,0.0,3.18,0.1753,3,-1.5195,-1.5301
2025-01,91.53,92,92.67,5.1211,0.0,-3.06,0.1354,2,1.9257,2.1039
2025-02,91.42,91,88.71,3.0183,0.0,-8.07,0.1879,4,-5.2397,-5.7314
2025-03,85.6,86,81.1,0.9382,0.0,-5.86,0.1788,4,-5.1005,-5.9586
2025-04,78.16,78,82.95,-0.5012,0.0,1.86,0.094,1,1.2648,1.6182
2025-05,82.5,82,79.19,1.2256,0.0,-8.45,0.1203,2,-7.3446,-8.9026
2025-06,81.24,81,82.93,1.0686,0.0,1.46,0.0718,0,2.4568,3.0241
2025-07,83.08,83,85.66,0.0923,0.0,-1.36,0.1007,1,-1.3683,-1.647
2025-08,85.93,86,89.85,2.3109,0.0,0.8,0.1024,1,3.0084,3.501
2025-09,92.88,93,100.2,-1.6773,0.0,7.13,0.0829,0,5.3699,5.7815
2025-10,101.39,101,112.71,-4.3403,0.0,11.07,0.093,0,6.6367,6.5457
2025-11,109.86,110,123.16,-7.0833,0.0,4.07,0.1293,1,-3.1425,-2.8605
2025-12,119.85,120,121.93,4.4327,0.0,2.13,0.1082,0,6.4546,5.3855
2026-01,121.52,122,124.75,2.705,0.0,-3.66,0.1449,1,-1.0998,-0.905
2026-02,127.35,127,127.37,6.8846,0.0,-3.72,0.1825,2,2.9821,2.3416
2026-03,126.55,127,127.73,10.1679,0.0,-14.49,0.2974,5,-4.6195,-3.6503
2026-04,128.55,129,131.33,9.1689,0.0,5.67,0.1144,0,14.7245,11.4543
2026-05,130.42,130,136.69,0.6321,0.0,-10.28,0.2357,3,-9.8836,-7.5783
2026-06,133.62,134,140.72,-0.7018,0.0,-1.64,0.1818,2,-2.5236,-1.8886
