month,n_tickers,ew_return_pct,index_value
2020-10,38,2.7116146266080796,102.71161462660807
2020-11,39,3.1216446152302195,105.91790621381558
2021-01,37,5.615605622087065,111.86583810995552
2021-02,40,2.805148183171612,115.00384063528664
2021-03,37,4.391679685063184,120.05444094150894
2021-04,39,5.044044071626732,126.11003985254374
2021-05,39,2.0778091961388685,128.73036585785428
2021-06,39,3.922412986091105,133.77970244530536
2021-07,38,4.34303071496117,139.58979601288863
2021-08,39,4.671665102929714,146.1109638004735
2021-09,39,5.127585795632782,153.60292882616872
2021-10,39,2.447366650741994,157.36215568082332
2021-11,38,4.269286241460497,164.08039654257036
2022-01,40,-0.145067669887,163.8423689345647
2022-02,38,4.108375959806912,170.5736294318505
2022-03,39,7.800180422343399,183.87868028047427
2022-05,39,2.21862838726522,187.95826487930552
2022-06,39,2.198366626540161,192.09027664623613
2022-07,39,2.152757699203603,196.22551486615947
2022-08,39,4.737102310140226,205.52091826396884
2022-09,41,4.171254544398349,214.09371890674385
2022-10,41,2.6994602457786963,219.87309373734058
2022-11,40,-0.9413688951325824,217.80327682413156
2022-12,41,2.0728552005496605,222.31802337474812
2023-01,40,2.777873212516785,228.49373619267206
2023-02,41,4.402221815928165,238.55253729537523
2023-03,39,3.6055849120520587,247.15375158741463
2023-04,40,4.693027258494814,258.75274451980454
2023-05,40,1.454680277796427,262.5167696625911
2023-06,40,7.820988402852825,283.04817577344625
2023-07,39,2.6319071055110643,290.497740823647
2023-08,40,3.7499643131324283,301.3913024349897
2023-09,41,0.053462266482694504,301.55243305625316
2023-10,39,2.4060279340364676,308.80786883135323
2023-11,39,2.440926921860103,316.3456432384802
2023-12,39,3.46402552977952,327.30393708260635
2024-01,41,4.126076593617074,340.8087482205589
2024-02,41,5.871333637653839,360.81876689489957
2024-03,38,6.40135150572458,383.9160444624631
2024-04,41,1.8662060441587123,391.08070888871663
2024-05,41,1.104922608062285,395.4018480569983
2024-06,40,3.838940470632905,410.58108962368885
2024-07,41,2.5035389914240107,420.86014729383146
2024-08,41,-1.5027755974255808,414.5355637010104
2024-09,39,1.3110066546823358,419.97015252715556
2024-10,41,0.728723520927848,423.0305738094975
2024-11,41,1.9665049537793233,431.3494909994624
2024-12,41,0.5027429375136059,433.518070101463
2025-01,41,-0.07188032395309091,433.20645590827894
2025-02,38,-1.9447549835012723,424.78165176815344
2025-03,41,-1.2533490305580177,419.45765505372896
2025-04,41,-1.713797919624271,412.2689984877134
2025-05,41,1.2479930585512555,417.4140869713989
2025-06,40,3.0586626912944856,430.1813759178006
2025-08,41,1.7353271734073854,437.64643022904
2025-09,40,0.5791059594102188,440.18086678764246
2025-10,40,0.8039094567204816,443.7195224024225
2025-11,41,1.4711396394376115,450.24725618440783
2025-12,39,0.4757595784630088,452.3893506324721
2026-01,41,0.32233933205900334,453.8475794436069
2026-02,40,0.3011126866638785,455.21417208342854
2026-03,40,1.6740106456414483,462.83450578457376
