variant,win%,avg%/mo,sd,Sharpe,Sortino,maxDD_pp,Calmar,worst,CVaR95,skew,total_pp
renko/ATM,58.228,0.059,2.148,0.096,0.121,-19.511,0.036,-9.83,-5.927,-1.349,14.049
renko/30d,60.759,0.537,2.479,0.751,1.105,-20.329,0.317,-10.05,-5.822,-0.94,127.283
p>20d/ATM,55.696,0.078,2.014,0.134,0.175,-17.169,0.054,-8.999,-5.219,-1.035,18.428
p>20d/30d,59.494,0.556,2.541,0.757,1.162,-21.007,0.317,-10.674,-5.345,-0.655,131.661
p>50d/ATM,60.759,0.126,2.331,0.187,0.236,-27.732,0.054,-12.532,-6.2,-1.515,29.817
p>50d/30d,63.713,0.604,2.553,0.819,1.268,-18.217,0.398,-8.765,-5.427,-0.519,143.051
10x50/ATM,62.025,0.196,2.483,0.273,0.348,-29.226,0.08,-12.517,-6.476,-1.404,46.38
10x50/30d,64.979,0.673,2.694,0.866,1.353,-14.616,0.553,-10.193,-6.044,-0.563,159.614
covered-call ATM,75.949,0.574,2.761,0.72,0.914,-30.736,0.224,-13.226,-7.963,-1.972,135.983
naked-call ATM,55.274,-0.137,2.469,-0.192,-0.231,-73.299,-0.022,-12.286,-6.65,-1.217,-32.407
buy&hold,64.135,0.711,4.609,0.534,0.79,-67.021,0.127,-16.61,-10.571,-0.405,168.39
