month,spot0,strike,settle,premium_income,option_pnl,hedge_pnl,fees,n_switches,month_pnl,ret_pct
2023-01,21169.63,21000,23139.28,2392.59,253.31,1173.63,76.63,2,1350.3,6.378
2023-02,23723.77,23500,23147.35,3211.81,2859.16,-5452.47,106.99,3,-2700.3,-11.382
2023-03,23646.55,23500,28478.48,3105.85,-1872.64,1162.23,86.81,2,-797.22,-3.371
2023-04,28411.04,28500,29268.81,3805.85,3037.04,-1597.83,103.61,2,1335.61,4.701
2023-05,28091.57,28000,27219.66,3509.48,2729.13,-3484.14,129.3,3,-884.3,-3.148
2023-06,26819.97,27000,30477.25,2721.25,-756.0,-4122.31,179.66,5,-5057.97,-18.859
2023-07,30590.08,30500,29230.11,3348.05,2078.16,-236.16,78.06,1,1763.95,5.766
2023-08,29675.73,29500,25931.47,2657.5,-911.02,1506.42,133.7,3,461.7,1.556
2023-09,25800.72,26000,26967.92,2293.44,1325.53,-1653.59,69.08,1,-397.14,-1.539
2023-10,27983.75,28000,34667.78,2416.69,-4251.09,3391.74,103.51,2,-962.86,-3.441
2023-11,35437.25,35500,37712.75,4827.15,2614.4,2275.49,57.84,0,4832.06,13.636
2023-12,38688.75,38500,42265.19,4742.91,977.73,3576.44,63.69,0,4490.47,11.607
2024-01,44167.33,44000,42582.61,6917.23,5499.83,-3157.4,111.67,1,2230.76,5.051
2024-02,43075.77,43000,61198.38,4336.62,-13861.76,18122.61,77.98,0,4182.86,9.71
2024-03,62440.63,62500,71333.65,9396.21,562.56,8893.02,104.35,0,9351.23,14.976
2024-04,69702.15,69500,60636.86,11772.7,2909.55,4052.73,174.19,1,6788.1,9.739
2024-05,58254.01,58500,67491.41,8403.8,-587.62,-2037.52,161.72,1,-2786.86,-4.784
2024-06,67706.94,67500,62678.29,7924.18,3102.48,4278.83,173.15,1,7208.16,10.646
2024-07,62851.98,63000,64619.25,6576.05,4956.8,-2269.07,166.32,1,2521.41,4.012
2024-08,65357.5,65500,58969.9,7589.24,1059.14,6387.6,101.38,0,7345.36,11.239
2024-09,57325.49,57500,63329.5,7182.93,1353.43,5357.57,152.37,1,6558.62,11.441
2024-10,60837.01,61000,70215.19,8045.15,-1170.03,1688.31,287.87,3,230.4,0.379
2024-11,69482.47,69500,96449.05,9357.62,-17591.43,11311.45,268.11,2,-6548.09,-9.424
2024-12,97279.79,97500,93429.2,12948.58,8877.79,-2379.27,247.89,1,6250.63,6.425
2025-01,94419.76,94500,102405.02,13276.73,5371.71,-114.75,344.08,2,4912.87,5.203
2025-02,100655.91,100500,84373.01,11900.95,-4226.04,16282.9,152.91,0,11903.95,11.826
2025-03,86031.91,86000,82548.91,10239.67,6788.58,-1519.16,307.12,2,4962.31,5.768
2025-04,85169.17,85000,94207.31,9660.32,453.01,3435.34,308.56,2,3579.79,4.203
2025-05,96492.34,96500,104638.09,10185.19,2047.1,8145.76,158.46,0,10034.39,10.399
2025-06,105652.1,105500,107135.34,10875.59,9240.25,-8549.42,587.16,4,103.68,0.098
2025-07,105698.28,105500,115758.2,9291.66,-966.54,3737.84,283.01,1,2488.3,2.354
2025-08,113320.09,113500,108236.71,10138.98,4875.69,-4248.06,409.1,2,218.53,0.193
2025-09,109250.59,109500,114056.09,9954.81,5398.72,-9730.74,511.82,3,-4843.84,-4.434
2025-10,118648.93,118500,109556.16,10223.49,1279.65,-1776.36,298.51,1,-795.21,-0.67
2025-11,110064.02,110000,90394.31,10829.35,-8776.34,19669.7,166.27,0,10727.09,9.746
2025-12,86321.57,86500,87508.83,10669.35,9660.52,-15573.73,406.25,3,-6319.46,-7.321
2026-01,88731.98,88500,78621.12,8801.43,-1077.45,9268.71,225.23,1,7966.03,8.978
2026-02,76974.45,77000,66995.86,8088.61,-1915.54,9978.59,118.17,0,7944.88,10.321
2026-03,65738.1,65500,68233.31,8519.17,5785.86,-11449.74,179.14,1,-5843.02,-8.888
2026-04,68078.55,68000,76304.32,7962.18,-342.14,6419.08,182.02,1,5894.92,8.659
2026-05,78179.0,78000,73579.69,7067.59,2647.28,3100.02,200.22,1,5547.08,7.095
2026-06,71319.77,71500,64105.44,5144.75,-2249.8,7214.33,110.5,0,4854.02,6.806
