month,spot0,strike,settle,premium_income,option_pnl,hedge_pnl,fees,n_switches,month_pnl,ret_pct
2023-01,1576.83,1600,1586.54,219.38,205.91,-574.86,13.66,7,-382.61,-24.264
2023-02,1641.79,1650,1605.9,251.83,207.73,-285.56,7.44,3,-85.27,-5.193
2023-03,1663.43,1650,1822.02,242.35,70.32,-63.69,5.99,2,0.64,0.038
2023-04,1813.86,1800,1876.92,268.13,191.21,63.06,2.93,0,251.34,13.856
2023-05,1831.95,1850,1874.13,243.5,219.37,-335.52,12.27,5,-128.43,-7.01
2023-06,1862.2,1850,1933.19,189.36,106.17,-191.57,10.43,4,-95.83,-5.146
2023-07,1924.57,1900,1856.16,219.5,175.67,-301.28,8.8,3,-134.41,-6.984
2023-08,1871.79,1850,1645.64,180.47,-23.89,127.69,8.42,3,95.39,5.096
2023-09,1628.49,1650,1671.16,159.4,138.24,-6.11,4.28,1,127.85,7.851
2023-10,1733.81,1750,1816.46,160.24,93.78,-225.16,6.19,2,-137.58,-7.935
2023-11,1847.09,1850,2052.56,235.0,32.45,205.47,3.06,0,234.85,12.715
2023-12,2087.14,2100,2281.47,258.54,77.07,194.33,3.44,0,267.97,12.839
2024-01,2352.33,2350,2282.54,380.12,312.66,-755.9,10.83,3,-454.07,-19.303
2024-02,2303.82,2300,3341.92,236.85,-805.07,901.34,6.58,1,89.69,3.893
2024-03,3435.05,3450,3647.86,550.6,352.74,212.8,5.6,0,559.94,16.301
2024-04,3505.03,3500,3012.29,625.25,137.54,-867.36,15.58,3,-745.4,-21.267
2024-05,2969.78,2950,3760.03,516.03,-293.99,357.72,14.22,3,49.51,1.667
2024-06,3813.2,3800,3432.89,597.22,230.11,-249.43,9.41,1,-28.73,-0.753
2024-07,3440.34,3450,3231.3,481.68,262.98,-392.23,15.52,3,-144.77,-4.208
2024-08,3201.56,3200,2513.39,403.77,-282.84,688.17,4.78,0,400.56,12.511
2024-09,2427.9,2450,2603.06,380.41,227.35,101.46,6.44,1,322.37,13.278
2024-10,2448.92,2450,2515.8,361.67,295.87,-247.15,11.43,3,37.29,1.523
2024-11,2511.89,2500,3705.71,372.31,-833.4,769.25,7.34,1,-71.48,-2.846
2024-12,3711.17,3700,3332.53,646.49,279.03,-207.84,9.17,1,62.02,1.671
2025-01,3353.5,3350,3298.27,548.99,497.26,-678.03,18.78,4,-199.55,-5.951
2025-02,3118.33,3100,2237.91,463.8,-398.29,880.42,4.55,0,477.58,15.315
2025-03,2216.64,2200,1823.48,352.51,-24.01,393.16,3.35,0,365.81,16.503
2025-04,1905.49,1900,1793.78,290.69,184.47,111.72,2.99,0,293.19,15.387
2025-05,1839.22,1850,2529.09,289.38,-389.71,689.87,3.29,0,296.87,16.141
2025-06,2536.27,2550,2486.46,425.74,362.21,-208.12,6.44,1,147.64,5.821
2025-07,2405.79,2400,3696.71,344.9,-951.81,959.83,7.07,1,0.95,0.04
2025-08,3488.37,3500,4390.02,568.36,-321.65,901.65,6.03,0,573.97,16.454
2025-09,4314.47,4300,4145.96,700.01,545.97,-54.67,11.02,1,480.27,11.132
2025-10,4351.11,4350,3847.08,628.45,125.53,-512.18,10.55,1,-397.2,-9.129
2025-11,3874.19,3850,2992.11,621.91,-235.98,882.08,5.76,0,640.34,16.528
2025-12,2800.19,2800,2967.04,475.59,308.56,-615.92,7.76,1,-315.12,-11.253
2026-01,3000.39,3000,2445.09,404.09,-150.81,425.73,7.46,1,267.45,8.914
2026-02,2267.96,2250,1965.05,344.22,59.27,302.91,3.48,0,358.71,15.816
2026-03,1939.07,1950,2104.71,332.95,178.25,-141.35,5.28,1,31.62,1.63
2026-04,2138.74,2150,2256.25,357.68,251.43,-252.39,7.78,2,-8.74,-0.409
2026-05,2295.09,2300,2004.34,292.29,-3.37,51.7,12.78,4,35.55,1.549
2026-06,2003.22,2000,1721.7,187.49,-90.81,281.52,3.06,0,187.64,9.367
