month,n_tickers,ew_return_pct,index_value
2020-10,38,2.209140669000252,102.20914066900025
2020-11,39,2.8818444500601914,105.15464911682405
2021-01,37,5.3807604362103385,110.81276887333792
2021-02,40,2.560824386271161,113.65048928174866
2021-03,37,4.151427003197817,118.36860638305761
2021-04,39,4.809299125412838,124.06130673460136
2021-05,39,1.8234271845887096,126.32347432715605
2021-06,39,3.6816574165159244,130.97427188852237
2021-07,38,4.093184696299815,136.33529074155348
2021-08,39,4.432407596409909,142.37822652496962
2021-09,39,4.892010195877223,149.3433838832803
2021-10,39,1.916237174189941,152.2051573224449
2021-11,38,4.035442394764579,158.34730876805298
2022-01,40,-0.38765920177951985,157.7334608548434
2022-02,38,3.860463223813565,163.822703102793
2022-03,39,7.5395786935280915,176.17424472109298
2022-05,39,1.9727389255194385,179.64970262344585
2022-06,39,1.9399016594579341,183.13473018584932
2022-07,39,1.917845914391881,186.64697212655122
2022-08,39,4.476872444200738,195.00291898961984
2022-09,41,3.640862847392825,202.10270781844443
2022-10,41,2.4446880496623633,207.04348856452597
2022-11,40,-1.1972669911394656,204.5646252186393
2022-12,41,1.8115861762689132,208.27048969063645
2023-01,40,2.4772399681585187,213.42984950313237
2023-02,41,4.1586499929597736,222.30564992446847
2023-03,39,3.3140106466182053,229.67288283099916
2023-04,40,4.452442389866351,239.89893562419465
2023-05,40,1.1990315790257433,242.77539962007538
2023-06,40,7.584601854924178,261.1889470829592
2023-07,39,2.3898531625284978,267.43097939499614
2023-08,40,3.499291188512679,276.78916809231845
2023-09,41,-0.47303126245003885,275.4798687961664
2023-10,39,2.1521298686992125,281.4085533347821
2023-11,39,2.193083889886688,287.58007898273036
2023-12,39,3.2270738121022338,296.860500400405
2024-01,41,3.8556259465459397,308.3063308788891
2024-02,41,5.640537356225351,325.6964646437206
2024-03,38,6.144724817509554,345.7096161364346
2024-04,41,1.6297909201215548,351.3439600702133
2024-05,41,0.8520769310385381,354.3376809025689
2024-06,40,3.585060025894829,367.04089945728964
2024-07,41,2.2558999067588776,375.32097476591355
2024-08,41,-2.0119225233274967,367.7698075398258
2024-09,39,1.0255409116412029,371.54143737681085
2024-10,41,0.46088638371823126,373.2538212715516
2024-11,41,1.694234822962774,379.57761748957347
2024-12,41,0.2617155513404247,380.57103114395113
2025-01,41,-0.34015855767237335,379.276486213493
2025-02,38,-2.228620357339219,370.82385323113823
2025-03,41,-1.5352713268362315,365.1307009394113
2025-04,41,-1.9897466099668588,357.8655251955212
2025-05,41,0.9776721017243485,361.3642765970471
2025-06,40,2.811693001770363,371.5247306730243
2025-08,41,1.249668844061471,376.1675594802284
2025-09,40,0.25712279526216897,377.1347720240335
2025-10,40,0.5386567867823635,379.16623406885714
2025-11,41,1.209828664534742,383.75349585485907
2025-12,39,0.1990206586014984,384.51724458971563
2026-01,41,0.06516223476523461,384.76780461934794
2026-02,40,-0.010035830084393627,384.72918997625686
2026-03,40,1.3739164773129444,390.0150477103733
